"route_number","stop_index","hour","minutes"
"305","9","8","03 13 23 33 43 53"
"305","9","9","03 13 23 33 43 53"
"305","9","10","03 13 23 33 43 53"
"305","9","11","03 13 23 33 43 53"
"305","9","12","03 13 23 33 43 53"
"305","9","13","03 13 23 33 43 53"
"305","9","14","03 13 23 33 43 53"
"305","9","15","03 13 23 33 43 53"
"305","9","16","03 13 23 33 43 53"
"305","9","17","03 13 23 33 43 53"
"305","9","18","03 13 23 33 43 53"
"305","9","19","03 13 23 33 43 53"
"305","9","20","03 13 23 33 43 53"
"305","9","21","03 13 23 33 43 53"
"305","9","22","03 13 23 33 43 53"
"305","9","23","03"
"305","10","6","14 24 34 44 54"
"305","10","7","04 14 24 34 44 54"
"305","10","8","04 14 24 34 44 54"
"305","10","9","04 14 24 34 44 54"
"305","10","10","04 14 24 34 44 54"
"305","10","11","04 14 24 34 44 54"
"305","10","12","04 14 24 34 44 54"
"305","10","13","04 14 24 34 44 54"
"305","10","14","04 14 24 34 44 54"
"305","10","15","04 14 24 34 44 54"
"305","10","16","04 14 24 34 44 54"
"305","10","17","04 14 24 34 44 54"
"305","10","18","04 14 24 34 44 54"
"305","10","19","04 14 24 34 44 54"
"305","10","20","04 14 24 34 44 54"
"305","10","21","04 14 24 34 44 54"
"305","10","22","04 14 24 34 44 54"
"305","10","23","04"
"305","11","6","15 25 35 45 55"
"305","11","7","05 15 25 35 45 55"
"305","11","8","05 15 25 35 45 55"
"305","11","9","05 15 25 35 45 55"
"305","11","10","05 15 25 35 45 55"
"305","11","11","05 15 25 35 45 55"
"305","11","12","05 15 25 35 45 55"
"305","11","13","05 15 25 35 45 55"
"305","11","14","05 15 25 35 45 55"
"305","11","15","05 15 25 35 45 55"
"305","11","16","05 15 25 35 45 55"
"305","11","17","05 15 25 35 45 55"
"305","11","18","05 15 25 35 45 55"
"305","11","19","05 15 25 35 45 55"
"305","11","20","05 15 25 35 45 55"
"305","11","21","05 15 25 35 45 55"
"305","11","22","05 15 25 35 45 55"
"305","11","23","05"
"305","12","6","16 26 36 46 56"
"305","12","7","06 16 26 36 46 56"
"305","12","8","06 16 26 36 46 56"
"305","12","9","06 16 26 36 46 56"
"305","12","10","06 16 26 36 46 56"
"305","12","11","06 16 26 36 46 56"
"305","12","12","06 16 26 36 46 56"
"305","12","13","06 16 26 36 46 56"
"305","12","14","06 16 26 36 46 56"
"305","12","15","06 16 26 36 46 56"
"305","12","16","06 16 26 36 46 56"
"305","12","17","06 16 26 36 46 56"
"305","12","18","06 16 26 36 46 56"
"305","12","19","06 16 26 36 46 56"
"305","12","20","06 16 26 36 46 56"
"305","12","21","06 16 26 36 46 56"
"305","12","22","06 16 26 36 46 56"
"305","12","23","06"
"305","13","6","17 27 37 47 57"
"305","13","7","07 17 27 37 47 57"
"305","13","8","07 17 27 37 47 57"
"305","13","9","07 17 27 37 47 57"
"305","13","10","07 17 27 37 47 57"
"305","13","11","07 17 27 37 47 57"
"305","13","12","07 17 27 37 47 57"
"305","13","13","07 17 27 37 47 57"
"305","13","14","07 17 27 37 47 57"
"305","13","15","07 17 27 37 47 57"
"305","13","16","07 17 27 37 47 57"
"305","13","17","07 17 27 37 47 57"
"305","13","18","07 17 27 37 47 57"
"305","13","19","07 17 27 37 47 57"
"305","13","20","07 17 27 37 47 57"
"305","13","21","07 17 27 37 47 57"
"305","13","22","07 17 27 37 47 57"
"305","13","23","07"
"305","14","6","18 28 38 48 58"
"305","14","7","08 18 28 38 48 58"
"305","14","8","08 18 28 38 48 58"
"305","14","9","08 18 28 38 48 58"
"305","14","10","08 18 28 38 48 58"
"305","14","11","08 18 28 38 48 58"
"305","14","12","08 18 28 38 48 58"
"305","14","13","08 18 28 38 48 58"
"305","14","14","08 18 28 38 48 58"
"305","14","15","08 18 28 38 48 58"
"305","14","16","08 18 28 38 48 58"
"305","14","17","08 18 28 38 48 58"
"305","14","18","08 18 28 38 48 58"
"305","14","19","08 18 28 38 48 58"
"305","14","20","08 18 28 38 48 58"
"305","14","21","08 18 28 38 48 58"
"305","14","22","08 18 28 38 48 58"
"305","14","23","08"
"305","15","6","20 30 40 50"
"305","15","7","00 10 20 30 40 50"
"305","15","8","00 10 20 30 40 50"
"305","15","9","00 10 20 30 40 50"
"305","15","10","00 10 20 30 40 50"
"305","15","11","00 10 20 30 40 50"
"305","15","12","00 10 20 30 40 50"
"305","15","13","00 10 20 30 40 50"
"305","15","14","00 10 20 30 40 50"
"305","15","15","00 10 20 30 40 50"
"305","15","16","00 10 20 30 40 50"
"305","15","17","00 10 20 30 40 50"
"305","15","18","00 10 20 30 40 50"
"305","15","19","00 10 20 30 40 50"
"305","15","20","00 10 20 30 40 50"
"305","15","21","00 10 20 30 40 50"
"305","15","22","00 10 20 30 40 50"
"305","15","23","00 10"
"305","16","6","21 31 41 51"
"305","16","7","01 11 21 31 41 51"
"305","16","8","01 11 21 31 41 51"
"305","16","9","01 11 21 31 41 51"
"305","16","10","01 11 21 31 41 51"
"305","16","11","01 11 21 31 41 51"
"305","16","12","01 11 21 31 41 51"
"305","16","13","01 11 21 31 41 51"
"305","16","14","01 11 21 31 41 51"
"305","16","15","01 11 21 31 41 51"
"305","16","16","01 11 21 31 41 51"
"305","16","17","01 11 21 31 41 51"
"305","16","18","01 11 21 31 41 51"
"305","16","19","01 11 21 31 41 51"
"305","16","20","01 11 21 31 41 51"
"305","16","21","01 11 21 31 41 51"
"305","16","22","01 11 21 31 41 51"
"305","16","23","01 11"
"305","17","6","22 32 42 52"
"305","17","7","02 12 22 32 42 52"
"305","17","8","02 12 22 32 42 52"
"305","17","9","02 12 22 32 42 52"
"305","17","10","02 12 22 32 42 52"
"305","17","11","02 12 22 32 42 52"
"305","17","12","02 12 22 32 42 52"
"305","17","13","02 12 22 32 42 52"
"305","17","14","02 12 22 32 42 52"
"305","17","15","02 12 22 32 42 52"
"305","17","16","02 12 22 32 42 52"
"305","17","17","02 12 22 32 42 52"
"305","17","18","02 12 22 32 42 52"
"305","17","19","02 12 22 32 42 52"
"305","17","20","02 12 22 32 42 52"
"305","17","21","02 12 22 32 42 52"
"305","17","22","02 12 22 32 42 52"
"305","17","23","02 12"
"305","18","6","23 33 43 53"
"305","18","7","03 13 23 33 43 53"
"305","18","8","03 13 23 33 43 53"
"305","18","9","03 13 23 33 43 53"
"305","18","10","03 13 23 33 43 53"
"305","18","11","03 13 23 33 43 53"
"305","18","12","03 13 23 33 43 53"
"305","18","13","03 13 23 33 43 53"
"305","18","14","03 13 23 33 43 53"
"305","18","15","03 13 23 33 43 53"
"305","18","16","03 13 23 33 43 53"
"305","18","17","03 13 23 33 43 53"
"305","18","18","03 13 23 33 43 53"
"305","18","19","03 13 23 33 43 53"
"305","18","20","03 13 23 33 43 53"
"305","18","21","03 13 23 33 43 53"
"305","18","22","03 13 23 33 43 53"
"305","18","23","03 13"
"305","19","6","24 34 44 54"
"305","19","7","04 14 24 34 44 54"
"305","19","8","04 14 24 34 44 54"
"305","19","9","04 14 24 34 44 54"
"305","19","10","04 14 24 34 44 54"
"305","19","11","04 14 24 34 44 54"
"305","19","12","04 14 24 34 44 54"
"305","19","13","04 14 24 34 44 54"
"305","19","14","04 14 24 34 44 54"
"305","19","15","04 14 24 34 44 54"
"305","19","16","04 14 24 34 44 54"
"305","19","17","04 14 24 34 44 54"
"305","19","18","04 14 24 34 44 54"
"305","19","19","04 14 24 34 44 54"
"305","19","20","04 14 24 34 44 54"
"305","19","21","04 14 24 34 44 54"
"305","19","22","04 14 24 34 44 54"
"305","19","23","04 14"
"305","20","6","25 35 45 55"
"305","20","7","05 15 25 35 45 55"
"305","20","8","05 15 25 35 45 55"
"305","20","9","05 15 25 35 45 55"
"305","20","10","05 15 25 35 45 55"
"305","20","11","05 15 25 35 45 55"
"305","20","12","05 15 25 35 45 55"
"305","20","13","05 15 25 35 45 55"
"305","20","14","05 15 25 35 45 55"
"305","20","15","05 15 25 35 45 55"
"305","20","16","05 15 25 35 45 55"
"305","20","17","05 15 25 35 45 55"
"305","20","18","05 15 25 35 45 55"
"305","20","19","05 15 25 35 45 55"
"305","20","20","05 15 25 35 45 55"
"305","20","21","05 15 25 35 45 55"
"305","20","22","05 15 25 35 45 55"
"305","20","23","05 15"
"305","21","6","26 36 46 56"
"305","21","7","06 16 26 36 46 56"
"305","21","8","06 16 26 36 46 56"
"305","21","9","06 16 26 36 46 56"
"305","21","10","06 16 26 36 46 56"
"305","21","11","06 16 26 36 46 56"
"305","21","12","06 16 26 36 46 56"
"305","21","13","06 16 26 36 46 56"
"305","21","14","06 16 26 36 46 56"
"305","21","15","06 16 26 36 46 56"
"305","21","16","06 16 26 36 46 56"
"305","21","17","06 16 26 36 46 56"
"305","21","18","06 16 26 36 46 56"
"305","21","19","06 16 26 36 46 56"
"305","21","20","06 16 26 36 46 56"
"305","21","21","06 16 26 36 46 56"
"305","21","22","06 16 26 36 46 56"
"305","21","23","06 16"
"305","22","6","27 37 47 57"
"305","22","7","07 17 27 37 47 57"
"305","22","8","07 17 27 37 47 57"
"305","22","9","07 17 27 37 47 57"
"305","22","10","07 17 27 37 47 57"
"305","22","11","07 17 27 37 47 57"
"305","22","12","07 17 27 37 47 57"
"305","22","13","07 17 27 37 47 57"
"305","22","14","07 17 27 37 47 57"
"305","22","15","07 17 27 37 47 57"
"305","22","16","07 17 27 37 47 57"
"305","22","17","07 17 27 37 47 57"
"305","22","18","07 17 27 37 47 57"
"305","22","19","07 17 27 37 47 57"
"305","22","20","07 17 27 37 47 57"
"305","22","21","07 17 27 37 47 57"
"305","22","22","07 17 27 37 47 57"
"305","22","23","07 17"
"305","23","6","31 41 51"
"305","23","7","01 11 21 31 41 51"
"305","23","8","01 11 21 31 41 51"
"305","23","9","01 11 21 31 41 51"
"305","23","10","01 11 21 31 41 51"
"305","23","11","01 11 21 31 41 51"
"305","23","12","01 11 21 31 41 51"
"305","23","13","01 11 21 31 41 51"
"305","23","14","01 11 21 31 41 51"
"305","23","15","01 11 21 31 41 51"
"305","23","16","01 11 21 31 41 51"
"305","23","17","01 11 21 31 41 51"
"305","23","18","01 11 21 31 41 51"
"305","23","19","01 11 21 31 41 51"
"305","23","20","01 11 21 31 41 51"
"305","23","21","01 11 21 31 41 51"
"305","23","22","01 11 21 31 41 51"
"305","23","23","01 11 21"
"305","24","6","32 42 52"
"305","24","7","02 12 22 32 42 52"
"305","24","8","02 12 22 32 42 52"
"305","24","9","02 12 22 32 42 52"
"305","24","10","02 12 22 32 42 52"
"305","24","11","02 12 22 32 42 52"
"305","24","12","02 12 22 32 42 52"
"305","24","13","02 12 22 32 42 52"
"305","24","14","02 12 22 32 42 52"
"305","24","15","02 12 22 32 42 52"
"305","24","16","02 12 22 32 42 52"
"305","24","17","02 12 22 32 42 52"
"305","24","18","02 12 22 32 42 52"
"305","24","19","02 12 22 32 42 52"
"305","24","20","02 12 22 32 42 52"
"305","24","21","02 12 22 32 42 52"
"305","24","22","02 12 22 32 42 52"
"305","24","23","02 12 22"
"305","25","6","34 44 54"
"305","25","7","04 14 24 34 44 54"
"305","25","8","04 14 24 34 44 54"
"305","25","9","04 14 24 34 44 54"
"305","25","10","04 14 24 34 44 54"
"305","25","11","04 14 24 34 44 54"
"305","25","12","04 14 24 34 44 54"
"305","25","13","04 14 24 34 44 54"
"305","25","14","04 14 24 34 44 54"
"305","25","15","04 14 24 34 44 54"
"305","25","16","04 14 24 34 44 54"
"305","25","17","04 14 24 34 44 54"
"305","25","18","04 14 24 34 44 54"
"305","25","19","04 14 24 34 44 54"
"305","25","20","04 14 24 34 44 54"
"305","25","21","04 14 24 34 44 54"
"305","25","22","04 14 24 34 44 54"
"305","25","23","04 14 24"
"305","26","6","36 46 56"
"305","26","7","06 16 26 36 46 56"
"305","26","8","06 16 26 36 46 56"
"305","26","9","06 16 26 36 46 56"
"305","26","10","06 16 26 36 46 56"
"305","26","11","06 16 26 36 46 56"
"305","26","12","06 16 26 36 46 56"
"305","26","13","06 16 26 36 46 56"
"305","26","14","06 16 26 36 46 56"
"305","26","15","06 16 26 36 46 56"
"305","26","16","06 16 26 36 46 56"
"305","26","17","06 16 26 36 46 56"
"305","26","18","06 16 26 36 46 56"
"305","26","19","06 16 26 36 46 56"
"305","26","20","06 16 26 36 46 56"
"305","26","21","06 16 26 36 46 56"
"305","26","22","06 16 26 36 46 56"
"305","26","23","06 16 26"
"305","27","6","37 47 57"
"305","27","7","07 17 27 37 47 57"
"305","27","8","07 17 27 37 47 57"
"305","27","9","07 17 27 37 47 57"
"305","27","10","07 17 27 37 47 57"
"305","27","11","07 17 27 37 47 57"
"305","27","12","07 17 27 37 47 57"
"305","27","13","07 17 27 37 47 57"
"305","27","14","07 17 27 37 47 57"
"305","27","15","07 17 27 37 47 57"
"305","27","16","07 17 27 37 47 57"
"305","27","17","07 17 27 37 47 57"
"305","27","18","07 17 27 37 47 57"
"305","27","19","07 17 27 37 47 57"
"305","27","20","07 17 27 37 47 57"
"305","27","21","07 17 27 37 47 57"
"305","27","22","07 17 27 37 47 57"
"305","27","23","07 17 27"
"305","28","6","39 49 59"
"305","28","7","09 19 29 39 49 59"
"305","28","8","09 19 29 39 49 59"
"305","28","9","09 19 29 39 49 59"
"305","28","10","09 19 29 39 49 59"
"305","28","11","09 19 29 39 49 59"
"305","28","12","09 19 29 39 49 59"
"305","28","13","09 19 29 39 49 59"
"305","28","14","09 19 29 39 49 59"
"305","28","15","09 19 29 39 49 59"
"305","28","16","09 19 29 39 49 59"
"305","28","17","09 19 29 39 49 59"
"305","28","18","09 19 29 39 49 59"
"305","28","19","09 19 29 39 49 59"
"305","28","20","09 19 29 39 49 59"
"305","28","21","09 19 29 39 49 59"
"305","28","22","09 19 29 39 49 59"
"305","28","23","09 19 29"
"305","29","6","41 51"
"305","29","7","01 11 21 31 41 51"
"305","29","8","01 11 21 31 41 51"
"305","29","9","01 11 21 31 41 51"
"305","29","10","01 11 21 31 41 51"
"305","29","11","01 11 21 31 41 51"
"305","29","12","01 11 21 31 41 51"
"305","29","13","01 11 21 31 41 51"
"305","29","14","01 11 21 31 41 51"
"305","29","15","01 11 21 31 41 51"
"305","29","16","01 11 21 31 41 51"
"305","29","17","01 11 21 31 41 51"
"305","29","18","01 11 21 31 41 51"
"305","29","19","01 11 21 31 41 51"
"305","29","20","01 11 21 31 41 51"
"305","29","21","01 11 21 31 41 51"
"305","29","22","01 11 21 31 41 51"
"305","29","23","01 11 21 31"
"305","30","6","43 53"
"305","30","7","03 13 23 33 43 53"
"305","30","8","03 13 23 33 43 53"
"305","30","9","03 13 23 33 43 53"
"305","30","10","03 13 23 33 43 53"
"305","30","11","03 13 23 33 43 53"
"305","30","12","03 13 23 33 43 53"
"305","30","13","03 13 23 33 43 53"
"305","30","14","03 13 23 33 43 53"
"305","30","15","03 13 23 33 43 53"
"305","30","16","03 13 23 33 43 53"
"305","30","17","03 13 23 33 43 53"
"305","30","18","03 13 23 33 43 53"
"305","30","19","03 13 23 33 43 53"
"305","30","20","03 13 23 33 43 53"
"305","30","21","03 13 23 33 43 53"
"305","30","22","03 13 23 33 43 53"
"305","30","23","03 13 23 33"
"305","31","6","45 55"
"305","31","7","05 15 25 35 45 55"
"305","31","8","05 15 25 35 45 55"
"305","31","9","05 15 25 35 45 55"
"305","31","10","05 15 25 35 45 55"
"305","31","11","05 15 25 35 45 55"
"305","31","12","05 15 25 35 45 55"
"305","31","13","05 15 25 35 45 55"
"305","31","14","05 15 25 35 45 55"
"305","31","15","05 15 25 35 45 55"
"305","31","16","05 15 25 35 45 55"
"305","31","17","05 15 25 35 45 55"
"305","31","18","05 15 25 35 45 55"
"305","31","19","05 15 25 35 45 55"
"305","31","20","05 15 25 35 45 55"
"305","31","21","05 15 25 35 45 55"
"305","31","22","05 15 25 35 45 55"
"305","31","23","05 15 25 35"
"305","32","6","46 56"
"305","32","7","06 16 26 36 46 56"
"305","32","8","06 16 26 36 46 56"
"305","32","9","06 16 26 36 46 56"
"305","32","10","06 16 26 36 46 56"
"305","32","11","06 16 26 36 46 56"
"305","32","12","06 16 26 36 46 56"
"305","32","13","06 16 26 36 46 56"
"305","32","14","06 16 26 36 46 56"
"305","32","15","06 16 26 36 46 56"
"305","32","16","06 16 26 36 46 56"
"305","32","17","06 16 26 36 46 56"
"305","32","18","06 16 26 36 46 56"
"305","32","19","06 16 26 36 46 56"
"305","32","20","06 16 26 36 46 56"
"305","32","21","06 16 26 36 46 56"
"305","32","22","06 16 26 36 46 56"
"305","32","23","06 16 26 36"
