"route_number","stop_name","hour","minutes"
"302","პეტრე სურგულაძის ქუჩა - [3211]","STOP_NAME","5"
"302","აბელ ენუქიძის ქუჩა - [2823]","STOP_NAME","6"
"302","ბესარიონ ჭიჭინაძის შესახვევი - [3212]","STOP_NAME","7"
"302","შალვა ნებიერიძის ქუჩა - [3213]","STOP_NAME","8"
"302","ლუკა რაზიკაშვილის ქუჩა - [3214]","STOP_NAME","9"
"302","#201-ე სუსტმხედველთა საჯარო სკოლა - [1098]","STOP_NAME","10"
"302","ბესარიონ ჭიჭინაძის ქუჩა #21 - [1095]","STOP_NAME","11"
"302","#94-ე საჯარო სკოლა - [1099]","STOP_NAME","12"
"302","#131-ე საჯარო სკოლა - [1093]","STOP_NAME","13"
"302","ზურაბ კვანტრიშვილის ქუჩა - [1101]","STOP_NAME","14"
"302","გუმათჰესის ქუჩა #10 - [1102]","STOP_NAME","15"
"302","ენგურჰესის ქუჩა - [3068]","STOP_NAME","16"
"302","ბესარიონ ჭიჭინაძის ქუჩა - [1103]","STOP_NAME","17"
"302","ფრონეს ქუჩა - [1091]","STOP_NAME","18"
"302","რქაწითლის ქუჩა - [3532]","STOP_NAME","19"
"302","ქინძმარაულის ქუჩა #32 - [3533]","STOP_NAME","20"
"302","ქინძმარაულის ქუჩა #15 - [1088]","STOP_NAME","21"
"302","საფერავის ქუჩა - [1090]","STOP_NAME","22"
"302","რკინიგზის მახარისხებელი - [1086]","STOP_NAME","23"
"302","გადასასვლელი ხიდი - [3536]","STOP_NAME","24"
"302","სამგორის პოლიციის დეპარტამენტი - [3055]","STOP_NAME","25"
"302","მოსკოვის გამზირი #47 - [1082]","STOP_NAME","26"
"302","ნანა სამარგულიანის ქუჩა - [1080]","STOP_NAME","27"
"302","მოსკოვის გამზირი #38 - [1076]","STOP_NAME","28"
"302","მოსკოვის გამზირი #24ა - [1074]","STOP_NAME","29"
"302","სამგორის რაიონის გამგეობა - [1498]","STOP_NAME","30"
"302","მოსკოვის გამზირი #19 - [1071]","STOP_NAME","31"
"302","მოსკოვის გამზირი #15 - [1069]","STOP_NAME","32"
"302","ვარლამ ჩერქეზიშვილის ქუჩა - [2149]","STOP_NAME","33"
"302","მ/ს "სამგორი" - [1066]","STOP_NAME","34"
"302","ტბელ აბუსერიძის ქუჩა - [3097]","STOP_NAME","35"
"302","მ/ს "ისანი" - [4584]","STOP_NAME","36"
"302","#87-ე საჯარო სკოლა - [1016]","STOP_NAME","37"
"302","ლეხ კაჩინსკის ქუჩა - [1014]","STOP_NAME","38"
"302","#96-ე საჯარო სკოლა - [2123]","STOP_NAME","39"
"302","მ/ს "300 არაგველი" - [4351]","STOP_NAME","40"
"302","#89-ე საჯარო სკოლა - [4348]","STOP_NAME","41"
"302","#202-ე უსინათლო და მცირემხედველთა საჯარო სკოლა - [4324]","STOP_NAME","42"
"302","მ/ს "ავლაბარი" - [4344]","STOP_NAME","43"
"302","ნიკოლოზ ბარათაშვილის ქუჩა - [3983]","STOP_NAME","44"
"302","თავისუფლების მოედანი - [822]","STOP_NAME","45"
"302","პირველი კლასიკური გიმნაზია - [819]","STOP_NAME","46"
"302","ოპერის თეატრი - [817]","STOP_NAME","47"
"302","მ/ს "რუსთაველი" - [815]","STOP_NAME","48"
"302","ფილარმონია - [4358]","STOP_NAME","49"
"302","მერაბ კოსტავას ქუჩა #47 - [810]","STOP_NAME","50"
"302","გმირთა მოედანი - [803]","STOP_NAME","51"
"302","სიმონ ჩიქოვანის ქუჩა - [3087]","STOP_NAME","52"
"302","პეკინის გამზირი - [926]","STOP_NAME","53"
"302","მ/ს "ტექნიკური უნივერსიტეტი" - [928]","STOP_NAME","54"
"302","სულხან ცინცაძის ქუჩა - [929]","STOP_NAME","55"
"302","ადამ მიცკევიჩის ქუჩა - [931]","STOP_NAME","56"
"302","მ/ს "სამედიცინო უნივერსიტეტი" - [1050]","STOP_NAME","57"
"302","ოთარ ჭილაძის ქუჩა - [1051]","STOP_NAME","58"
"302","რესპუბლიკური საავადმყოფო - [1054]","STOP_NAME","59"
"302","სამედიცინო უნივერსიტეტი - [1055]","STOP_NAME","60"
"302","მიხეილ ასათიანის ქუჩა - [997]","STOP_NAME","61"
"302","მ/ს "დელისი" - [4602]","STOP_NAME","62"
"302","პეტრე ქავთარაძის ქუჩა #19 - [3103]","STOP_NAME","63"
"302","დავით თავხელიძის ქუჩა - [990]","STOP_NAME","64"
"302","#122-ე საჯარო სკოლა - [988]","STOP_NAME","65"
"302","პეტრე ქავთარაძის ქუჩა #33 - [992]","STOP_NAME","66"
"302","#35-ე საჯარო სკოლა - [986]","STOP_NAME","67"
"302","პეტრე ქავთარაძის ქუჩა #45 - [984]","STOP_NAME","68"
"302","სპეციალური პენიტენციური სამსახური - [983]","STOP_NAME","69"
"302","ბაგების საბაგირო - [976]","STOP_NAME","70"
