"route_number","stop_index","stop_name"
"302","38","ოთარ ჭილაძის ქუჩა - [1051]"
"302","39","რესპუბლიკური საავადმყოფო - [1054]"
"302","40","სამედიცინო უნივერსიტეტი - [1055]"
"302","41","მიხეილ ასათიანის ქუჩა - [997]"
"302","42","მ/ს ""დელისი"" - [2129]"
"302","43","მარშალ არჩილ გელოვანის პარკი - [1263]"
"302","44","ვაჟა-ფშაველას გამზირი #57 - [3099]"
"302","45","მ/ს ""ვაჟა-ფშაველა"" - [1261]"
"302","46","ვარლამ თოფურიას ქუჩა - [1259]"
"302","47","მიხეილ შავიშვილის ქუჩა - [1256]"
"302","48","ვაჟა-ფშაველას გამზირი #91 - [3100]"
"302","49","მ/ს ""სახელმწიფო უნივერსიტეტი"" - [1254]"
"302","50","სპეციალური პენიტენციური სამსახური - [1252]"
"302","51","ბაგების საბაგირო - [976]"
"302","52","უნივერსიტეტის მაღლივი კორპუსი - [977]"
"307","1","სადგურის მოედანი - [3072]"
"307","2","თევდორე მღვდლის ქუჩა - [4335]"
"307","3","მიხეილ წინამძღვრიშვილის ქუჩა - [2153]"
"307","4","დავით აღმაშენებლის გამზირი - [2786]"
"307","5","მერაბ ალექსიძის ქუჩა - [2779]"
"307","6","გმირთა მოედანი - [3558]"
"307","7","სახელმწიფო უნივერსიტეტი - [3953]"
"307","8","რაფიელ ერისთავის ქუჩა - [3957]"
"307","9","მზიური - [3961]"
"307","10","ლადო კავსაძის ქუჩა - [3965]"
"307","11","ნიკოლოზ ყიფშიძის ქუჩა - [3969]"
"307","12","ვაკის პარკი - [3979]"
"307","13","მიხეილ მესხის სახელობის სტადიონი - [1153]"
"307","14","სოლიკო ხაბეიშვილის ქუჩა - [1155]"
"307","15","კუს ტბის ასახვევი - [2132]"
"307","16","ექსპერტიზის ეროვნული ბიურო - [2799]"
"307","17","ჯანსულ კორძაიას ქუჩა - [1398]"
"307","18","ვახტანგ ტაბლიაშვილის ქუჩა - [3242]"
"307","19","ზურაბ საკანდელიძის ქუჩა - [1400]"
"307","20","ბაგების სტუდქალაქი - [2849]"
"312","1","დიდი ლილო, ტაძრის ქუჩა - [2188]"
"312","2","დიდი ლილო, იასამნის ქუჩა - [4128]"
"312","3","დიდი ლილო, გალაკტიონ ტაბიძის ქუჩა - [4378]"
"312","4","დიდი ლილო, 300 არაგველის ქუჩა - [4379]"
"312","5","დიდი ლილო, არჩილ მეფის ქუჩა - [4380]"
"312","6","დიდი ლილო, მირზა გელოვანის ქუჩა - [4381]"
"312","7","დიდი ლილო, ერეკლე მეორის III შესახვევი - [4382]"
"312","8","დიდი ლილო, უშბას ქუჩა - [4383]"
"312","9","დიდი ლილო, ერეკლე მეორის II ჩიხი - [4384]"
"312","10","დიდი ლილო, ერეკლე მეორის ქუჩა #55 - [4385]"
"312","11","დიდი ლილო, ერეკლე მეორის ქუჩა #71 - [4386]"
"312","12","დიდი ლილო, ერეკლე მეორის ქუჩა #85 - [4387]"
"312","13","დიდი ლილო, ალიოშა ჯაფარიძის ქუჩა - [3776]"
"312","14","დიდი ლილო, ერეკლე მეორის IV შესახვევი - [4388]"
"312","15","დიდი ლილო, ერეკლე მეორის ქუჩა #89 - [4389]"
"312","16","დიდი ლილო, ერეკლე მეორის ქუჩა #101 - [4390]"
"312","17","დიდი ლილო, ლევან დევდარიანის ქუჩა #21 - [4391]"
"312","18","დიდი ლილო, ლევან დევდარიანის ქუჩა #20 - [4392]"
"312","19","ალექსანდრე ქართველიშვილის ქუჩა - [3164]"
"312","20","კახეთის გზატკეცილი #99 - [3025]"
